Tract,UVX,UVY
0,401.0,32.0
1,577.0,266.0
2,475.0,244.0
3,210.0,235.0
4,300.0,293.0
5,443.0,274.0
6,456.0,295.0
7,319.0,429.0
8,272.0,479.0
9,323.0,512.0
10,367.0,497.0
11,395.0,490.0
12,307.0,517.0
13,350.0,565.0
14,378.0,547.0
15,394.0,526.0
16,390.0,577.0
17,400.0,691.0
18,455.0,746.0
19,407.0,887.0
