0.00E+00,3.75E-03,1.67E-02,9.67E-03,7.26E-03,1.80E-02,1.38E-02,9.25E-03,4.44E-03,1.63E-02,5.14E-03,3.28E-03,4.60E-03,2.57E-02,1.53E-02,4.80E-09,7.44E-03,1.83E-02,3.04E-03,7.92E-03
3.75E-03,0.00E+00,4.58E-02,4.88E-03,3.11E-03,1.50E-02,3.85E-02,7.77E-03,1.32E-03,2.35E-03,8.48E-03,1.31E-03,4.36E-03,8.99E-04,3.98E-03,6.41E-03,1.70E-02,1.32E-02,5.92E-03,5.88E-03
1.67E-02,4.58E-02,0.00E+00,1.53E-02,4.60E-03,4.55E-02,6.80E-03,7.24E-03,4.32E-03,1.09E-04,8.07E-03,4.64E-03,7.84E-03,1.54E-04,8.88E-05,4.67E-03,1.01E-02,1.15E-04,1.74E-03,6.24E-03
9.67E-03,4.88E-03,1.53E-02,0.00E+00,9.47E-03,6.34E-03,9.42E-03,5.32E-03,1.14E-02,1.67E-02,1.07E-02,6.20E-03,5.01E-03,3.28E-02,1.56E-02,1.68E-03,6.60E-03,1.59E-02,7.46E-09,7.08E-03
7.26E-03,3.11E-03,4.60E-03,9.47E-03,0.00E+00,4.23E-03,1.96E-02,7.35E-03,1.34E-02,1.86E-02,5.28E-03,2.53E-03,1.14E-02,1.60E-02,2.66E-02,5.86E-03,1.09E-02,1.80E-02,2.55E-03,3.36E-03
1.80E-02,1.50E-02,4.55E-02,6.34E-03,4.23E-03,0.00E+00,5.49E-02,1.66E-03,7.08E-03,2.27E-03,5.20E-03,4.64E-03,6.13E-03,1.32E-04,1.07E-04,5.23E-03,7.56E-03,9.03E-05,3.65E-03,2.28E-03
1.38E-02,3.85E-02,6.80E-03,9.42E-03,1.96E-02,5.49E-02,0.00E+00,7.58E-03,6.00E-03,9.72E-05,-3.33E-08,9.85E-03,2.24E-03,9.26E-05,9.66E-05,1.06E-02,3.36E-03,8.44E-05,6.96E-03,1.20E-04
9.25E-03,7.77E-03,7.24E-03,5.32E-03,7.35E-03,1.66E-03,7.58E-03,0.00E+00,1.22E-02,2.09E-02,1.39E-02,2.05E-02,1.27E-02,2.44E-04,1.69E-02,5.81E-03,1.15E-02,1.40E-02,7.32E-03,7.80E-03
4.44E-03,1.32E-03,4.32E-03,1.14E-02,1.34E-02,7.08E-03,6.00E-03,1.22E-02,0.00E+00,1.18E-02,6.12E-03,1.07E-02,8.88E-03,2.15E-02,1.86E-02,6.00E-03,2.64E-03,6.84E-03,5.16E-03,2.04E-03
1.63E-02,2.35E-03,1.09E-04,1.67E-02,1.86E-02,2.27E-03,9.72E-05,2.09E-02,1.18E-02,0.00E+00,1.45E-02,1.50E-02,2.45E-02,1.35E-04,2.14E-04,7.10E-03,6.00E-03,1.73E-04,2.49E-02,8.40E-03
5.14E-03,8.48E-03,8.07E-03,1.07E-02,5.28E-03,5.20E-03,-3.33E-08,1.39E-02,6.12E-03,1.45E-02,0.00E+00,3.17E-02,8.50E-03,2.47E-02,1.11E-02,1.31E-02,4.68E-03,6.81E-03,1.17E-02,4.80E-04
3.28E-03,1.31E-03,4.64E-03,6.20E-03,2.53E-03,4.64E-03,9.85E-03,2.05E-02,1.07E-02,1.50E-02,3.17E-02,0.00E+00,1.32E-02,2.87E-04,7.57E-03,3.00E-02,1.48E-02,6.59E-03,9.85E-04,6.24E-03
4.60E-03,4.36E-03,7.84E-03,5.01E-03,1.14E-02,6.13E-03,2.24E-03,1.27E-02,8.88E-03,2.45E-02,8.50E-03,1.32E-02,0.00E+00,1.89E-02,1.97E-02,5.13E-03,1.15E-02,1.12E-02,1.02E-02,4.08E-03
2.57E-02,8.99E-04,1.54E-04,3.28E-02,1.60E-02,1.32E-04,9.26E-05,2.44E-04,2.15E-02,1.35E-04,2.47E-02,2.87E-04,1.89E-02,0.00E+00,1.75E-04,2.56E-02,1.32E-02,1.10E-04,4.37E-03,5.04E-03
1.53E-02,3.98E-03,8.88E-05,1.56E-02,2.66E-02,1.07E-04,9.66E-05,1.69E-02,1.86E-02,2.14E-04,1.11E-02,7.57E-03,1.97E-02,1.75E-04,0.00E+00,2.26E-02,1.62E-02,1.17E-04,1.43E-02,7.20E-04
4.80E-09,6.41E-03,4.67E-03,1.68E-03,5.86E-03,5.23E-03,1.06E-02,5.81E-03,6.00E-03,7.10E-03,1.31E-02,3.00E-02,5.13E-03,2.56E-02,2.26E-02,0.00E+00,8.64E-03,1.20E-02,1.67E-02,2.88E-03
7.44E-03,1.70E-02,1.01E-02,6.60E-03,1.09E-02,7.56E-03,3.36E-03,1.15E-02,2.64E-03,6.00E-03,4.68E-03,1.48E-02,1.15E-02,1.32E-02,1.62E-02,8.64E-03,0.00E+00,1.24E-02,1.62E-02,2.04E-08
